|time |reset|   R0    |   R1    |   R2    |PC[]|RAM16K[4]|RAM16K[8192]|
| 0   |  0  |       0 |       0 |       0 |   0|       0 |          0 |
| 1   |  0  |       1 |       0 |       0 |   1|       0 |          0 |
| 2   |  0  |       1 |       2 |       0 |   2|       0 |          0 |
| 3   |  0  |       1 |       2 |       4 |   3|       0 |          0 |
| 4   |  0  |       8 |       2 |       4 |   4|       0 |          0 |
| 5   |  0  |       8 |      16 |       4 |   5|       0 |          0 |
| 6   |  0  |       8 |      16 |      32 |   6|       0 |          0 |
| 7   |  0  |      64 |      16 |      32 |   7|       0 |          0 |
| 8   |  0  |      64 |     128 |      32 |   8|       0 |          0 |
| 9   |  0  |      64 |     128 |     256 |   9|       0 |          0 |
| 10  |  0  |     512 |     128 |     256 |  10|       0 |          0 |
| 11  |  0  |     512 |    1024 |     256 |  11|       0 |          0 |
| 12  |  0  |     512 |    1024 |    2048 |  12|       0 |          0 |
| 13  |  0  |    4096 |    1024 |    2048 |  13|       0 |          0 |
| 14  |  0  |    4096 |    8192 |    2048 |  14|       0 |          0 |
| 15  |  0  |    4096 |    8192 |   16384 |  15|       0 |          0 |
| 16  |  0  |  -32768 |    8192 |   16384 |  16|       0 |          0 |
| 17  |  0  |  -32768 |    8192 |   16384 |  17|       0 |     -32768 |
| 18  |  0  |  -32768 |   16384 |   16384 |  18|       0 |     -32768 |
| 19  |  0  |  -32768 |   16384 |    8192 |  19|       0 |     -32768 |
| 20  |  0  |    4096 |   16384 |    8192 |  20|       0 |     -32768 |
| 21  |  0  |    4096 |    2048 |    8192 |  21|       0 |     -32768 |
| 22  |  0  |    4096 |    2048 |    1024 |  22|       0 |     -32768 |
| 23  |  0  |     512 |    2048 |    1024 |  23|       0 |     -32768 |
| 24  |  0  |     512 |     256 |    1024 |  24|       0 |     -32768 |
| 25  |  0  |     512 |     256 |     128 |  25|       0 |     -32768 |
| 26  |  0  |      64 |     256 |     128 |  26|       0 |     -32768 |
| 27  |  0  |      64 |      32 |     128 |  27|       0 |     -32768 |
| 28  |  0  |      64 |      32 |      16 |  28|       0 |     -32768 |
| 29  |  0  |       8 |      32 |      16 |  29|       0 |     -32768 |
| 30  |  0  |       8 |       4 |      16 |  30|       0 |     -32768 |
| 31  |  0  |       8 |       4 |       2 |  31|       0 |     -32768 |
| 32  |  0  |       1 |       4 |       2 |  32|       0 |     -32768 |
| 33  |  0  |       1 |       4 |       2 |  33|       1 |     -32768 |
