|time |reset|   R0    |   R1    |   R2    |PC[]|RAM16K[0]|
| 0   |  0  |       0 |       0 |       0 |   0|       0 |
| 1   |  0  |       1 |       0 |       0 |   1|       0 |
| 2   |  0  |       1 |      63 |       0 |   2|       0 |
| 3   |  0  |       1 |      63 |      43 |   3|       0 |
| 4   |  0  |     106 |      63 |      43 |   4|       0 |
| 5   |  0  |     106 |     126 |      43 |   5|       0 |
| 6   |  0  |     106 |     126 |     232 |   6|       0 |
| 7   |  0  |     106 |     126 |     232 |   7|       0 |
| 8   |  0  |     106 |       0 |     232 |   8|       0 |
| 9   |  0  |     106 |       0 |     106 |   9|       0 |
| 10  |  0  |     106 |       0 |     106 |  10|     106 |
